Triênio,Curso
2021-2023,Música (Bacharelado)*
2021-2023,Música (Licenciatura)*
2021-2023,Nutrição (Bacharelado)
2021-2023,Odontologia (Bacharelado)
2021-2023,Pedagogia (Licenciatura)
2021-2023,Pedagogia (Licenciatura)
2021-2023,Psicologia (Bacharelado / Licenciatura / Psicólogo)
2021-2023,Química (Bacharelado)
2021-2023,Química Tecnológica (Bacharelado)
2021-2023,Relações Internacionais (Bacharelado)
2021-2023,Saúde Coletiva (Bacharelado)
2021-2023,Serviço Social (Bacharelado)
2021-2023,Serviço Social (Bacharelado)
2021-2023,"Teoria, Crítica e História da Arte (Bacharelado)"
2021-2023,Turismo (Bacharelado)
2021-2023,Campus UnB — Gama / DF
2021-2023,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**
2021-2023,Campus UnB — Planaltina / DF
2021-2023,Ciências Naturais (Licenciatura)
2021-2023,Ciências Naturais (Licenciatura)
2021-2023,Gestão do Agronegócio (Bacharelado)
2022-2024,Campus UnB — Ceilândia / DF
2022-2024,Enfermagem (Bacharelado)
2022-2024,Farmácia (Bacharelado)
2022-2024,Fisioterapia (Bacharelado)
2022-2024,Fonoaudiologia (Bacharelado)
2022-2024,Terapia Ocupacional (Bacharelado)
2022-2024,Campus UnB — Darcy Ribeiro (Plano Piloto) / DF
2022-2024,Administração (Bacharelado)
2022-2024,Administração (Bacharelado)
2022-2024,Agronomia (Bacharelado)
2022-2024,Arquitetura e Urbanismo (Bacharelado)
2022-2024,Arquitetura e Urbanismo (Bacharelado)
2022-2024,Artes Cênicas - Interpretação Teatral (Bacharelado)
2022-2024,Artes Visuais (Bacharelado)
2022-2024,Artes Visuais Licenciatura
2022-2024,Biotecnologia (Bacharelado)
2022-2024,Ciência da Computação (Bacharelado)
2022-2024,Ciência Política (Bacharelado)
2022-2024,Ciências Biológicas (Bacharelado)
2022-2024,Ciências Contábeis (Bacharelado)
2022-2024,Ciências Econômicas (Bacharelado)
2022-2024,Computação (Licenciatura)
2022-2024,Comunicação Organizacional (Bacharelado)
2022-2024,Comunicação Social – Audiovisual (Bacharelado)
2022-2024,Comunicação Social - Publicidade e Propaganda (Bacharelado)
2022-2024,Design – Programação Visual/ Projeto do Produto (Bacharelado)
2022-2024,Direito (Bacharelado)
2022-2024,Direito (Bacharelado)
2022-2024,Educação Física Ciclo Básico
2022-2024,Enfermagem (Bacharelado)
2022-2024,Engenharia Civil (Bacharelado)
2022-2024,Engenharia de Computação (Bacharelado)
2022-2024,Engenharia de Produção (Bacharelado)
2022-2024,Engenharia de Redes de Comunicação (Bacharelado)
2022-2024,Engenharia Elétrica (Bacharelado)
2022-2024,Engenharia Mecânica (Bacharelado)
2022-2024,Engenharia Mecatrônica – Controle e Automação (Bacharelado)
2022-2024,Engenharia Química (Bacharelado)
2022-2024,Estatística (Bacharelado)
2022-2024,Farmácia (Bacharelado)
2022-2024,Farmácia (Bacharelado)
2022-2024,História (Bacharelado/Licenciatura)
2022-2024,Jornalismo (Bacharelado)
2022-2024,Letras – Tradução – Inglês (Bacharelado)
2022-2024,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)
2022-2024,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)
2022-2024,Matemática (Bacharelado/ Licenciatura)
2022-2024,Medicina (Bacharelado)
