id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,52,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-30.791,-30.791,18.165,18.165,0.0,0.0,-0.0,0.0,,,-30.791,18.165,,,,,48.956,48.956,48.956
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ_PCD | EP=True | R=R2 | GE=NPPIQ | PCD=True | SM=1.0,53,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,-33.372,-33.372,-33.372,-33.372,0.0,0.0,-0.0,-0.0,,,-33.372,-33.372,,,,,0.0,0.0,0.0
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,54,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-58.968,-58.968,-58.968,-58.968,0.0,0.0,-0.0,-0.0,,,-58.968,-58.968,,,,,0.0,0.0,0.0
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,55,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,AC,1,-12.384,-12.384,29.579,29.579,0.0,0.0,-0.0,0.0,,,-12.384,29.579,,,,,41.963,41.963,41.963
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,56,Artes Cênicas (Licenciatura),Darcy Ribeiro,Noturno,AC,1,-53.375,-53.375,16.725,16.725,0.0,0.0,-0.0,0.0,,,-53.375,16.725,,,,,70.1,70.1,70.1
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,57,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-49.808,-49.808,-49.808,-49.808,0.0,0.0,-0.0,-0.0,,,-49.808,-49.808,,,,,0.0,0.0,0.0
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,58,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-62.337,-62.337,-53.522,-53.522,0.0,0.0,-0.0,-0.0,,,-62.337,-53.522,,,,,8.815,8.815,8.815
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,59,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,4,-52.165,-1.077,19.702,21.881,51.088,2.179,-97.935,11.06,17.029,0.726,-20.971,39.162,35.297,38.207,-168.312,97.563,60.133,0.0,145.707
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,60,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,AC,1,-68.863,-68.863,25.467,25.467,0.0,0.0,-0.0,0.0,,,-68.863,25.467,,,,,94.33,94.33,94.33
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,61,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,14.969,-42.056,14.969,-5.063,-57.025,-20.032,-380.954,-133.823,-57.025,-20.032,-13.543,4.953,40.323,14.165,-297.728,285.984,18.496,0.0,36.993
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,62,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1,-10.798,-10.798,-10.798,-10.798,0.0,0.0,-0.0,-0.0,,,-10.798,-10.798,,,,,0.0,0.0,0.0
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,63,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,-21.566,-21.566,-21.566,-21.566,0.0,0.0,-0.0,-0.0,,,-21.566,-21.566,,,,,0.0,0.0,0.0
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,64,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,-68.553,-68.553,-68.553,-68.553,0.0,0.0,-0.0,-0.0,,,-68.553,-68.553,,,,,0.0,0.0,0.0
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,65,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-49.617,-49.617,-49.617,-49.617,0.0,0.0,-0.0,-0.0,,,-49.617,-49.617,,,,,0.0,0.0,0.0
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,66,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-54.583,13.225,41.796,75.062,67.808,33.266,-124.229,79.591,13.562,6.653,-20.002,40.637,37.916,26.194,-189.563,64.458,60.638,29.504,96.379
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,67,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,CN,1,-21.925,-21.925,-21.925,-21.925,0.0,0.0,-0.0,-0.0,,,-21.925,-21.925,,,,,0.0,0.0,0.0
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,68,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,-37.278,-73.314,-37.278,-3.219,-36.036,34.059,96.668,-91.365,-18.018,17.03,-29.701,-6.336,47.854,29.507,-161.118,-465.708,23.365,0.0,70.095
