Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,51.28,51.28,51.28,51.28,51.28,51.28,51.28,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,21.36,21.36,21.36,21.36,21.36,21.36,21.36,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,AC,5,-36.58,-14.73,-15.74,-14.73,-36.58,5.95,-10.81,4.94,3.92,47.69,Moderada,-125.36,19.74,42.53,40.42,3.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,CN,3,9.79,-17.18,11.09,9.79,-17.18,40.66,-14.13,-25.22,3.05,25.79,Baixa,261.02,28.94,57.84,62.73,1.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,-18.13,-34.27,-32.62,-34.27,-45.44,-18.13,-40.17,-7.55,-5.9,48.82,Moderada,-42.1,13.73,27.31,27.21,1.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,3,-57.42,-32.04,-38.39,-32.04,-57.42,-25.71,-27.95,10.44,4.09,48.32,Moderada,-43.71,16.78,31.7,26.9,1.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-20.37,3.56,-10.33,-8.4,-44.2,19.7,-5.38,4.94,-8.95,41.85,Moderada,-270.63,27.95,63.91,62.37,2.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-40.61,-40.61,-40.61,-40.61,-40.61,-40.61,-40.61,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-17.58,-14.42,-25.56,-22.23,-43.36,-14.42,-21.82,3.74,-7.4,52.94,Moderada,-50.82,12.99,28.94,24.41,1.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,13.96,67.54,46.79,62.27,-13.44,87.36,49.08,2.29,-18.46,23.63,Baixa,81.94,38.34,100.8,69.1,4.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,-40.95,64.2,37.91,64.2,-40.95,72.34,78.23,40.33,14.03,31.68,Baixa,124.39,47.15,113.3,36.86,1.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-62.36,-32.08,-45.11,-43.0,-62.36,-32.08,-27.68,17.43,4.4,61.23,Alta,-31.17,14.06,30.28,6.17,0.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,22.9,22.9,22.9,22.9,22.9,22.9,22.9,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-47.18,-25.89,-34.34,-29.96,-47.18,-25.89,-21.25,13.1,4.64,59.38,Moderada,-32.9,11.3,21.29,9.29,0.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-60.4,-84.17,-7.04,2.91,-84.17,55.94,-54.31,-47.27,29.86,44.63,Moderada,-902.89,63.58,140.1,88.07,1.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-36.96,-36.96,-36.96,-36.96,-36.96,-36.96,-36.96,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-40.89,-25.82,-32.61,-33.35,-53.34,-10.4,-18.94,13.67,6.88,45.1,Moderada,-57.03,18.6,42.94,32.87,2.0
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-47.17,-47.17,-47.17,-47.17,-47.17,-47.17,-47.17,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-16.23,55.47,31.67,49.2,-16.23,55.47,46.97,15.3,-8.5,31.85,Baixa,99.75,31.59,71.69,47.12,2.0
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-6.36,48.44,19.56,11.2,-6.89,59.77,43.94,24.38,-4.5,30.03,Baixa,149.59,29.26,66.66,44.35,3.0
