id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,57,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-49.808,-49.808,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,58,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-62.337,-53.522,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,59,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,4,-16.703,43.379,28.129,34.756,6.2768,1.0866,4.268,4.217,-11.2995,-36.7405,-5.64975,-18.37025
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,60,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,AC,1,-68.863,25.467,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,61,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,-23.048,1.614,26.882,9.443,-57.025,-20.032,-9.504,-3.339,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,62,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1,-10.798,-10.798,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,63,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,-21.566,-21.566,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,64,Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,-68.553,-68.553,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,65,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-49.617,-49.617,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,66,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-9.869,44.22,29.318,26.454,9.65894,6.26309,10.133,3.584,13.2305,24.1375,-3.125393,2.453036
