curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Biologia (Licenciatura),AC,6,-36.584,-14.729,45.635,54.739,21.855,9.104,-36.584,61.373,45.635,143.74,-2.891,90.666,95.325,176.257,66.314,-1248.497,53.047
Biologia (Licenciatura),CN,4,9.788,-17.183,35.977,-17.183,-26.971,-53.16,-17.183,45.804,-17.183,45.804,19.768,26.315,6.547,26.189,0.0,148.335,111.249
Biologia (Licenciatura),EP_R1_NPPI,4,38.006,-34.27,47.711,-8.304,-72.276,-56.015,-45.443,38.006,-25.456,47.711,-14.96,9.148,24.108,40.776,9.705,-247.64,355.397
Biologia (Licenciatura),EP_R1_PPI,4,-57.415,-32.04,-43.489,-17.529,25.375,25.96,-57.415,-25.71,-43.489,32.075,-38.388,-8.992,28.741,57.785,13.926,-43.708,-348.938
Biologia (Licenciatura),EP_R2_NPPI,5,-20.37,3.563,18.629,3.563,23.933,-15.066,-44.203,51.276,-44.203,55.29,1.994,14.836,12.842,38.999,0.0,1839.26,259.814
Biologia (Licenciatura),EP_R2_NPPIQ,1,-40.608,-40.608,7.61,7.61,0.0,0.0,-40.608,-40.608,7.61,7.61,-40.608,7.61,48.218,48.218,48.218,,
Biologia (Licenciatura),EP_R2_PPI,5,-17.581,-14.417,-17.581,9.672,3.164,27.253,-43.355,21.358,-17.786,36.304,-16.177,4.503,20.68,55.261,0.0,-147.177,506.082
Biotecnologia (Bacharelado),AC,6,13.962,67.536,103.116,157.41,53.574,54.294,-13.439,87.359,20.763,157.41,46.788,119.757,72.969,93.382,34.202,81.938,43.849
Biotecnologia (Bacharelado),CN,5,-40.953,64.205,-1.459,64.205,105.158,65.664,-40.953,72.345,-1.459,72.345,37.907,45.805,7.899,39.494,0.0,124.389,68.273
Biotecnologia (Bacharelado),EP_R1_NPPI,4,-62.356,-32.078,44.477,-32.078,30.278,-76.555,-62.356,-32.078,-50.648,44.477,-45.11,-3.959,41.151,106.833,0.0,-31.168,-1130.824
Biotecnologia (Bacharelado),EP_R1_NPPIQ,1,22.903,22.903,22.903,22.903,0.0,0.0,22.903,22.903,22.903,22.903,22.903,22.903,0.0,0.0,0.0,,
Biotecnologia (Bacharelado),EP_R1_PPI,3,-47.176,-25.889,-47.176,42.794,21.287,89.97,-47.176,-25.889,-47.176,42.794,-34.343,2.838,37.18,68.683,0.0,-32.901,1614.722
Biotecnologia (Bacharelado),EP_R2_NPPI,5,-60.398,-84.167,32.963,-24.822,-23.769,-57.785,-84.167,55.938,-24.822,130.314,-7.042,51.173,58.215,93.361,26.069,-902.894,116.641
Biotecnologia (Bacharelado),EP_R2_NPPIQ,1,-36.957,-36.957,43.54,43.54,0.0,0.0,-36.957,-36.957,43.54,43.54,-36.957,43.54,80.497,80.497,80.497,,
Biotecnologia (Bacharelado),EP_R2_PPI,4,-40.891,-25.817,40.546,-25.817,15.074,-66.363,-53.337,-10.399,-25.817,104.025,-32.611,44.408,77.018,114.424,0.0,-57.03,121.337
Biotecnologia (Bacharelado),EP_R2_PPIQ,1,-47.168,-47.168,-47.168,-47.168,0.0,0.0,-47.168,-47.168,-47.168,-47.168,-47.168,-47.168,0.0,0.0,0.0,,
Ciência Política (Bacharelado),AC,6,-16.226,55.467,118.576,112.083,71.693,-6.493,-16.226,55.467,27.872,128.48,31.669,95.834,64.165,134.802,25.819,99.746,39.194
Ciência Política (Bacharelado),CN,6,-6.36,48.441,63.804,48.441,54.801,-15.363,-6.889,59.772,-6.889,63.804,19.562,31.256,11.694,70.164,0.0,149.594,98.577
Ciência Política (Bacharelado),EP_R1_NPPI,4,-23.763,-21.736,2.994,15.499,2.027,12.505,-44.5,-21.736,-27.935,15.499,-29.484,-7.882,21.601,37.235,0.0,-35.065,-260.914
Ciência Política (Bacharelado),EP_R1_NPPIQ,1,-33.164,-33.164,-3.3,-3.3,0.0,0.0,-33.164,-33.164,-3.3,-3.3,-33.164,-3.3,29.864,29.864,29.864,,
Ciência Política (Bacharelado),EP_R1_PPI,4,-20.735,-15.546,4.398,-3.077,5.189,-7.475,-30.87,-14.082,-18.086,41.919,-20.308,6.288,26.597,56.001,12.469,-37.412,405.937
Ciência Política (Bacharelado),EP_R2_NPPI,4,-48.057,16.428,24.311,22.171,64.485,-2.14,-48.057,16.428,20.572,26.979,-16.566,23.508,40.074,72.368,5.743,-160.279,11.804
Ciência Política (Bacharelado),EP_R2_NPPIQ,1,13.769,13.769,47.698,47.698,0.0,0.0,13.769,13.769,47.698,47.698,13.769,47.698,33.929,33.929,33.929,,
Ciência Política (Bacharelado),EP_R2_NPPIQ_PCD,1,-31.841,-31.841,-24.216,-24.216,0.0,0.0,-31.841,-31.841,-24.216,-24.216,-31.841,-24.216,7.625,7.625,7.625,,
Ciência Política (Bacharelado),EP_R2_PPI,4,-68.378,-30.791,55.251,5.586,37.587,-49.665,-68.378,-30.791,-8.471,55.251,-49.211,11.828,61.039,123.629,36.377,-31.287,249.911
Ciência Política (Bacharelado),EP_R2_PPIQ,1,-37.151,-37.151,-5.97,-5.97,0.0,0.0,-37.151,-37.151,-5.97,-5.97,-37.151,-5.97,31.181,31.181,31.181,,
Ciência da Computação (Bacharelado),AC,6,78.303,135.827,141.416,166.528,57.524,25.112,78.303,143.984,126.56,192.19,120.698,163.997,43.299,77.19,14.921,20.409,15.774
Ciência da Computação (Bacharelado),CN,6,44.904,117.648,57.682,117.648,72.744,59.966,44.904,137.024,57.682,137.024,89.841,91.971,2.13,12.778,0.0,37.577,33.287
Ciência da Computação (Bacharelado),EP_R1_NPPI,5,-75.28,8.647,-0.86,18.344,83.927,19.204,-75.28,46.784,-0.86,86.756,1.768,38.212,36.445,74.42,9.697,2590.027,94.949
Ciência da Computação (Bacharelado),EP_R1_NPPIQ,1,-38.263,-38.263,32.989,32.989,0.0,0.0,-38.263,-38.263,32.989,32.989,-38.263,32.989,71.252,71.252,71.252,,
Ciência da Computação (Bacharelado),EP_R1_PPI,5,-34.939,-18.098,-2.517,-7.693,16.841,-5.176,-34.939,11.4,-7.693,79.464,-8.109,20.86,28.969,70.458,10.405,-238.253,170.404
Ciência da Computação (Bacharelado),EP_R1_PPIQ,1,0.178,0.178,0.178,0.178,0.0,0.0,0.178,0.178,0.178,0.178,0.178,0.178,0.0,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPI,5,9.801,77.535,115.857,77.535,67.734,-38.322,9.801,131.855,77.535,181.985,88.255,128.39,40.134,106.056,0.0,54.458,29.73
Ciência da Computação (Bacharelado),EP_R2_NPPIQ,1,118.288,118.288,118.288,118.288,0.0,0.0,118.288,118.288,118.288,118.288,118.288,118.288,0.0,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPIQ_PCD,1,42.861,42.861,42.861,42.861,0.0,0.0,42.861,42.861,42.861,42.861,42.861,42.861,0.0,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPI_PCD,1,-10.517,-10.517,-10.517,-10.517,0.0,0.0,-10.517,-10.517,-10.517,-10.517,-10.517,-10.517,0.0,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_PPI,5,12.338,-12.086,54.187,22.791,-24.424,-31.396,-12.086,53.97,22.791,91.909,24.249,58.102,33.853,41.849,19.356,104.066,42.62
Ciência da Computação (Bacharelado),EP_R2_PPIQ,1,48.884,48.884,74.724,74.724,0.0,0.0,48.884,48.884,74.724,74.724,48.884,74.724,25.84,25.84,25.84,,
Ciência da Computação (Bacharelado),EP_R2_PPI_PCD,1,-13.051,-13.051,-13.051,-13.051,0.0,0.0,-13.051,-13.051,-13.051,-13.051,-13.051,-13.051,0.0,0.0,0.0,,
Ciências Ambientais (Bacharelado),AC,5,-86.73,-60.711,22.379,-15.392,26.019,-37.771,-88.634,-51.442,-15.392,118.33,-70.227,30.62,100.846,181.946,45.319,-23.596,167.18
Ciências Ambientais (Bacharelado),CN,4,-35.352,-39.988,-30.498,-39.988,-4.636,-9.49,-39.988,-16.032,-39.988,-16.032,-32.329,-31.116,1.213,4.854,0.0,-34.115,-34.874
