curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Ciências Contábeis (Bacharelado),EP_R1_NPPI,7,-48.39,-51.666,11.216,-62.154,-33.95,-1.839,-7.43,33.979,-54.029,44.815,44.206,33.868,0.0,94.118,-23.178,-1848.127
Ciências Contábeis (Bacharelado),EP_R1_NPPIQ,1,-24.064,-24.064,,-24.064,-24.064,-24.064,-24.064,,-24.064,-24.064,0.0,,0.0,0.0,,
Ciências Contábeis (Bacharelado),EP_R1_PPI,5,-38.572,-47.96,27.384,-59.857,1.491,-25.77,-38.632,31.536,-59.857,13.346,3.022,6.044,0.0,12.089,-70.995,-122.374
Ciências Contábeis (Bacharelado),EP_R2_NPPI,8,-55.369,-60.649,20.756,-76.035,-26.025,0.276,8.876,41.191,-68.678,55.242,54.494,36.294,0.0,105.416,-37.487,14924.359
Ciências Contábeis (Bacharelado),EP_R2_NPPIQ,2,-43.52,-43.52,9.636,-50.333,-36.706,-4.998,-4.998,22.922,-21.206,11.211,38.522,32.558,15.5,61.544,-22.141,-458.675
Ciências Contábeis (Bacharelado),EP_R2_PPI,8,-39.459,-37.932,11.64,-53.936,-21.687,9.32,0.197,27.845,-21.687,60.116,49.397,35.987,0.0,103.387,-29.498,298.766
Ciências Contábeis (Bacharelado),EP_R2_PPIQ,2,-76.981,-76.981,5.9,-81.153,-72.809,-21.276,-21.276,22.427,-37.134,-5.417,55.706,28.327,35.675,75.736,-7.664,-105.414
Ciências Econômicas (Bacharelado),AC,6,79.392,91.398,27.393,39.606,105.597,136.687,149.64,36.2,75.802,170.983,59.824,41.767,25.489,131.377,34.504,26.484
Ciências Econômicas (Bacharelado),CN,6,45.157,45.439,26.92,13.26,83.431,45.56,46.65,27.064,13.26,83.431,0.403,0.988,0.0,2.42,59.614,59.403
Ciências Econômicas (Bacharelado),EP_R1_NPPI,5,-34.657,-37.553,26.042,-60.912,1.518,10.474,35.066,40.469,-56.632,37.407,45.131,28.902,0.0,72.619,-75.141,386.381
