subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-50.721,-38.632
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-62.154,-7.43
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-52.303,16.406
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-68.678,-68.678
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-20.052,46.127
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,19.037,19.037
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-25.591,29.074
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-60.912,0.999
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-40.775,55.484
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,44.978,51.9
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,92.033,175.077
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,0.428,6.996
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-35.497,-29.515
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-32.433,-16.98
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-70.502,28.724
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-51.116,31.064
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),Diurno,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,11.533,94.463
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-3.314,-3.314
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-81.096,-81.096
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-51.231,-44.126
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-57.125,-53.651
