Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-21.687,-21.687
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-50.174,55.242
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-24.684,3.632
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,AC,AC,False,,,False,,12.567,74.209
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-54.966,-29.047
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-29.321,-6.142
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-60.649,0.749
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-70.205,-24.978
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Noturno,AC,AC,False,,,False,,-69.227,45.134
2021-2023,2023,Darcy Ribeiro,Ciências Econômicas (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-37.553,35.066
2021-2023,2023,Darcy Ribeiro,Ciências Econômicas (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-37.254,59.411
2021-2023,2023,Darcy Ribeiro,Ciências Econômicas (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-8.931,73.774
2021-2023,2023,Darcy Ribeiro,Ciências Econômicas (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,13.26,13.26
2021-2023,2023,Darcy Ribeiro,Ciências Econômicas (Bacharelado),Diurno,AC,AC,False,,,False,,105.597,150.5
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-61.197,-32.867
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-65.302,-5.054
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-57.603,10.11
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-37.615,33.041
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,CN,CN,False,,NEGROS,False,,-9.211,20.554
2021-2023,2023,Darcy Ribeiro,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Diurno,AC,AC,False,,,False,,3.024,73.106
