subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,8.992,21.805
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,53.97,91.909
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,107.146,124.221
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,137.024,137.024
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,143.984,188.751
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-15.546,-3.077
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-21.736,15.499
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-30.791,5.586
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,16.428,22.171
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,59.772,59.772
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,51.125,76.944
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-6.827,-6.827
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-51.524,-51.524
