subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-66.834,-66.834
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-61.065,15.096
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-68.468,42.212
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-59.895,-59.895
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-56.349,60.754
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,Química Tecnológica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-45.547,-45.547
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,Química Tecnológica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,26.655,26.655
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,Química Tecnológica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-32.241,-32.241
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Química Tecnológica (Bacharelado),Diurno,Química Tecnológica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-47.561,-17.112
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-25.614,-25.614
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-2.767,-2.767
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-48.698,-10.814
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-54.738,59.227
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-15.863,-15.863
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,Engenharia Ambiental (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-45.951,-23.355
