Curso,Campus,Turno,modalidade_normalizada,n_trienios
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Direito (Bacharelado),Darcy Ribeiro,Noturno,CN,6
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,5
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,5
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,5
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC,4
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,AC,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,CN,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,2
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,2
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Enfermagem (Bacharelado),Ceilândia,Diurno,AC,6
Enfermagem (Bacharelado),Ceilândia,Diurno,CN,6
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ,1
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ,1
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ_PCD,1
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,5
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ,1
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
