Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-5.68,-0.19105405405405734,True
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-6.499,-0.216364864864864,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,4.640000000000001,-0.2692857142857147,True
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-11.565000000000005,-0.27381081081081027,True
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-24.016999999999996,-0.32318918918918654,True
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,53.574,-0.6637714285714312,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,38.004000000000005,-0.7085142857142853,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,1.88900000000001,-0.7483648648648499,True
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,53.869,-0.7908000000000014,True
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-5.5219999999999985,-0.8675270270270287,True
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,14.088000000000001,-1.0079714285714356,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,2.8659999999999997,-1.1243000000000025,True
Química (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-16.727999999999998,-1.1309186046511626,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2022-2024,-5.721999999999994,-1.2149428571428802,True
Japonês (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-22.707000000000008,-1.2169054054054114,True
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,7.653999999999996,-1.2947999999999988,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,3.839,-1.4027999999999998,True
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,AC,4,2019-2021,2023-2025,0.8239999999999981,-1.605828571428577,True
