Curso,Campus,Turno,modalidade_normalizada
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Artes Visuais (Licenciatura),Darcy Ribeiro,Noturno,AC
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Estatística (Bacharelado),Darcy Ribeiro,Diurno,CN
Biologia (Licenciatura),Darcy Ribeiro,Diurno,AC
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Turismo (Bacharelado),Darcy Ribeiro,Diurno,AC
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ
Biologia (Licenciatura),Darcy Ribeiro,Diurno,CN
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,CN
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,AC
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPIQ
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharias (FGA),Gama,Diurno,EP_R1_NPPIQ
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,CN
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
História (Licenciatura),Darcy Ribeiro,Noturno,CN
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,CN
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Gestão Ambiental (Bacharelado),Planaltina,Noturno,EP_R2_NPPI
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,CN
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,CN
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,CN
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Geologia (Bacharelado),Darcy Ribeiro,Diurno,AC
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Gestão Ambiental (Bacharelado),Planaltina,Noturno,AC
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Matemática (Licenciatura),Darcy Ribeiro,Noturno,CN
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Ciências Naturais (Licenciatura),Planaltina,Diurno,AC
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Geologia (Bacharelado),Darcy Ribeiro,Diurno,CN
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Engenharias (FGA),Gama,Diurno,EP_R1_NPPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,CN
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R2_PPI
Administração (Bacharelado),Darcy Ribeiro,Noturno,CN
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,AC
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ_PCD
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R2_NPPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
