subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,CN,-20.13,24.96
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,AC,-72.389,73.386
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,EP_R1_PPI,-47.176,-47.176
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,EP_R2_PPI,-40.891,40.546
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,EP_R2_NPPI,-60.398,32.963
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,CN,-40.953,-1.459
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,AC,13.962,103.116
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,EP_R1_PPI,-34.939,-2.517
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,EP_R1_NPPI,-75.28,-0.86
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,EP_R2_PPI,12.338,54.187
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,EP_R2_PPI_PCD,-13.051,-13.051
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,EP_R2_NPPI,9.801,115.857
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,CN,44.904,57.682
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,AC,78.303,141.416
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,EP_R1_PPI,36.577,36.577
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,EP_R2_NPPI,-28.675,14.464
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,AC,-96.333,63.42
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,EP_R1_PPI,-57.415,-43.489
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,EP_R2_PPI,-17.581,-17.581
